Ranking,Jugador,Equipo,Total,Posicion
1,Israel Jiménez ,Bravos,17,Defensa
1,Jefferson Intriago ,Bravos,17,Centrocampista
1,Stefan Medina ,Rayados,17,Defensa
1,Alfredo Saldívar ,Pumas,17,Portero
1,Víctor Velázquez ,Bravos,17,Defensa
1,Edmundo Vázquez ,Bravos,17,Portero
1,Johan Vásquez ,Pumas,17,Defensa
1,Alan Mozo ,Pumas,17,Defensa
1,Carlos González ,Pumas,17,Delantero
1,Marcelo Barovero ,Rayados,17,Portero
2,Rogelio Funes Mori ,Rayados,16,Delantero
2,Anibal Chala ,Toluca,16,Defensa
2,Luis Hernández ,Toluca,16,Defensa
2,Talavera ,Toluca,16,Portero
2,Adrián Mora ,Toluca,16,Defensa
2,Joaquín Esquivel ,Bravos,16,Defensa
2,Darío Lezcano ,Bravos,16,Delantero
2,Felipe Pardo ,Toluca,16,Delantero
3,Martín Rodríguez ,Monarcas,15,Centrocampista
3,Aldo Rocha ,Monarcas,15,Centrocampista
