Ranking,Jugador,Equipo,Total,Posicion
1,Aldo Cruz ,Xolos,5,Defensa
1,González Pirez ,Xolos,5,Defensa
1,Mauro Lainez ,Xolos,5,Centrocampista
1,Ignacio Rivero ,Xolos,5,Centrocampista
2,Christian Rivera ,Xolos,4,Centrocampista
2,Vladimir Loroña ,Xolos,4,Defensa
2,Lajud ,Xolos,4,Portero
3,Isaac Brizuela ,Chivas,3,Centrocampista
3,Gerardo Daniel Arteaga Zamora ,Santos Laguna,3,Defensa
3,Jonathan Rodríguez ,Cruz Azul,3,Delantero
3,Doria ,Santos Laguna,3,Defensa
3,Ismael Govea ,Atlas,3,Defensa
3,Ángel Márquez ,Atlas,3,Centrocampista
3,Jonathan Orozco ,Santos Laguna,3,Portero
3,Alexis Castro ,Xolos,3,Centrocampista
3,Roberto Alvarado ,Cruz Azul,3,Centrocampista
3,Corona ,Cruz Azul,3,Portero
3,Jesús Molina ,Chivas,3,Centrocampista
3,Elias Hernández ,Cruz Azul,3,Centrocampista
3,Gilberto Sepúlveda ,Chivas,3,Defensa
