Ranking,Jugador,Equipo,Total,Posicion
1,Jonathan Rodríguez ,Cruz Azul,9,Delantero
2,Leonardo Fernández ,Toluca,8,Centrocampista
2,Gignac ,Tigres,8,Delantero
2,Ángel Mena ,León FC,8,Centrocampista
3,Franco Jara ,Pachuca,7,Delantero
4,Darío Lezcano ,Bravos,6,Delantero
5,Nahuelpan ,Gallos Blancos,5,Delantero
5,Aldo Rocha ,Monarcas,5,Centrocampista
5,Nicolás Ibáñez ,Atlético San Luis,5,Delantero
5,Quiroga ,Necaxa,5,Delantero
6,Germán Berterame ,Atlético San Luis,4,Delantero
6,Jean Meneses ,León FC,4,Centrocampista
6,Juan Ignacio Dinenno ,Pumas,4,Delantero
6,José Macías ,Chivas,4,Delantero
6,Elias Hernández ,Cruz Azul,4,Centrocampista
6,Juan Delgado ,Necaxa,4,Delantero
6,Diego Rolán ,Bravos,4,Delantero
6,Carlos González ,Pumas,4,Delantero
7,Leonardo Ramos ,León FC,3,Delantero
7,Federico Viñas ,América,3,Delantero
