Ranking,Jugador,Equipo,Total,Posicion
1,Aldo Rocha ,Monarcas,748,Centrocampista
2,Luis Reyes ,Atlético San Luis,692,Defensa
3,Luis Montes ,León FC,684,Centrocampista
4,Brian Lozano ,Santos Laguna,669,Centrocampista
5,Luis Rodríguez ,Tigres,664,Centrocampista
6,Jesús Dueñas ,Tigres,640,Centrocampista
7,Fernando Gorriarán ,Santos Laguna,634,Centrocampista
8,Jaime Gómez ,Gallos Blancos,629,Centrocampista
9,Guido Pizarro ,Tigres,624,Centrocampista
10,William Tesillo ,León FC,616,Defensa
11,Sambueza ,Pachuca,599,Centrocampista
12,Erick Aguirre ,Pachuca,598,Centrocampista
13,Claudio Baeza ,Necaxa,590,Centrocampista
14,Rodrigo Millar ,Monarcas,587,Centrocampista
15,Stefan Medina ,Rayados,576,Defensa
16,Jorge Hernández ,Pachuca,571,Centrocampista
17,Aboagye ,Gallos Blancos,567,Centrocampista
18,Oscar Murillo ,Pachuca,563,Defensa
19,Alan Mozo ,Pumas,561,Defensa
20,Pedro Aquino ,León FC,557,Centrocampista
