Ranking,Jugador,Equipo,Total,Posicion
1,Gerardo Daniel Arteaga Zamora ,Santos Laguna,900,Defensa
1,Maximiliano Perg ,Puebla,900,Defensa
1,González Pirez ,Xolos,900,Defensa
1,Gil Alcalá ,Gallos Blancos,900,Portero
1,Jonathan Orozco ,Santos Laguna,900,Portero
1,Ignacio Rivero ,Xolos,900,Centrocampista
1,Jefferson Intriago ,Bravos,900,Centrocampista
1,Anibal Chala ,Toluca,900,Defensa
1,Stefan Medina ,Rayados,900,Defensa
1,Corona ,Cruz Azul,900,Portero
1,Guzmán ,Tigres,900,Portero
1,Luis Hernández ,Toluca,900,Defensa
1,Alfredo Saldívar ,Pumas,900,Portero
1,Rodolfo Cota ,León FC,900,Portero
1,Talavera ,Toluca,900,Portero
1,Adrián Mora ,Toluca,900,Defensa
1,Víctor Velázquez ,Bravos,900,Defensa
1,Luis Reyes ,Atlético San Luis,900,Defensa
1,Carlos Rodriguez ,Atlético San Luis,900,Portero
1,Jaime Gómez ,Gallos Blancos,900,Centrocampista
