Ranking,Jugador,Equipo,Total,Posicion
1,Maximiliano Perg ,Puebla,5,Defensa
1,Paul Aguilar ,América,5,Defensa
1,Nicolás Vikonis ,Puebla,5,Portero
1,Cabral ,Pachuca,5,Defensa
1,Richard Sánchez ,América,5,Centrocampista
1,Ochoa ,América,5,Portero
1,Dani Arreola ,Puebla,5,Defensa
1,Emanuel Aguilera ,América,5,Defensa
1,Oscar Murillo ,Pachuca,5,Defensa
2,Miguel Tapias ,Pachuca,4,Defensa
2,Luis Fuentes ,América,4,Defensa
2,Bruno Valdez ,América,4,Defensa
2,Hiram Mier ,Chivas,4,Defensa
2,Salvador Reyes ,Puebla,4,Centrocampista
2,Guzmán ,Tigres,4,Portero
2,Javier Salas ,Puebla,4,Centrocampista
2,Gilberto Sepúlveda ,Chivas,4,Defensa
2,Jesús Sánchez ,Chivas,4,Centrocampista
2,Toño Rodríguez ,Chivas,4,Portero
2,Jorge Hernández ,Pachuca,4,Centrocampista
