Ranking,Jugador,Equipo,Total,Posicion
1,Germán Berterame ,Atlético San Luis,10,Delantero
1,Gerardo Daniel Arteaga Zamora ,Santos Laguna,10,Defensa
1,Jonathan Rodríguez ,Cruz Azul,10,Delantero
1,Israel Jiménez ,Bravos,10,Defensa
1,Claudio Baeza ,Necaxa,10,Centrocampista
1,Mauro Fernández ,Bravos,10,Delantero
1,Maximiliano Perg ,Puebla,10,Defensa
1,González Pirez ,Xolos,10,Defensa
1,Jesús Dueñas ,Tigres,10,Centrocampista
1,Paul Aguilar ,América,10,Defensa
1,Barrera ,Pumas,10,Delantero
1,Hiram Mier ,Chivas,10,Defensa
1,Gil Alcalá ,Gallos Blancos,10,Portero
1,Jonathan Orozco ,Santos Laguna,10,Portero
1,Ignacio Rivero ,Xolos,10,Centrocampista
1,Jefferson Intriago ,Bravos,10,Centrocampista
1,Anibal Chala ,Toluca,10,Defensa
1,Roberto Alvarado ,Cruz Azul,10,Centrocampista
1,Stefan Medina ,Rayados,10,Defensa
1,Jean Meneses ,León FC,10,Centrocampista
