Ranking,Jugador,Equipo,Total,Posicion
1,William Tesillo ,León FC,38,Defensa
2,Nicolás Sánchez ,Rayados,31,Defensa
2,Adrián Mora ,Toluca,31,Defensa
3,Fernando León ,Atlético San Luis,30,Defensa
4,Jesús Molina ,Chivas,28,Centrocampista
4,Erick Aguirre ,Pachuca,28,Centrocampista
5,González Pirez ,Xolos,27,Defensa
5,Ignacio Rivero ,Xolos,27,Centrocampista
5,Anibal Chala ,Toluca,27,Defensa
6,Maximiliano Perg ,Puebla,26,Defensa
6,Paul Aguilar ,América,26,Defensa
6,Luis Romo ,Cruz Azul,26,Defensa
6,Bruno Romo ,Bravos,26,Defensa
6,Emanuel Aguilera ,América,26,Defensa
7,Israel Jiménez ,Bravos,25,Defensa
7,Luis Hernández ,Toluca,25,Defensa
7,Ulises Rivas ,Santos Laguna,25,Centrocampista
7,Fernando Gorriarán ,Santos Laguna,25,Centrocampista
7,Celso Ortiz ,Rayados,25,Centrocampista
8,Aldo Cruz ,Xolos,24,Defensa
