Ranking,Jugador,Equipo,Total,Posicion
1,Nicolás Vikonis ,Puebla,152,Portero
2,Edmundo Vázquez ,Bravos,136,Portero
3,Alfredo Saldívar ,Pumas,124,Portero
4,Corona ,Cruz Azul,103,Portero
4,Toño Rodríguez ,Chivas,103,Portero
5,Luis Reyes ,Atlético San Luis,98,Defensa
5,Leonardo Fernández ,Toluca,98,Centrocampista
6,Camilo Vargas ,Atlas,97,Portero
7,Paul Aguilar ,América,95,Defensa
8,Luis Romo ,Cruz Azul,92,Defensa
8,Fernando Gorriarán ,Santos Laguna,92,Centrocampista
8,Ochoa ,América,92,Portero
9,Jonathan Orozco ,Santos Laguna,91,Portero
10,Nicolás Sánchez ,Rayados,89,Defensa
11,Brian Lozano ,Santos Laguna,87,Centrocampista
12,Ignacio Rivero ,Xolos,85,Centrocampista
13,Adrián Mora ,Toluca,84,Defensa
13,Sambueza ,Pachuca,84,Centrocampista
14,Erick Aguirre ,Pachuca,83,Centrocampista
15,Jesús Molina ,Chivas,81,Centrocampista
