Ranking,Jugador,Equipo,Total,Posicion
1,Sambueza ,Pachuca,368,Centrocampista
2,Aldo Rocha ,Monarcas,335,Centrocampista
2,Brian Lozano ,Santos Laguna,335,Centrocampista
3,Luis Montes ,León FC,325,Centrocampista
4,Luis Reyes ,Atlético San Luis,322,Defensa
5,Rodrigo Millar ,Monarcas,308,Centrocampista
6,Jesús Dueñas ,Tigres,287,Centrocampista
6,Leonardo Fernández ,Toluca,287,Centrocampista
7,Richard Sánchez ,América,280,Centrocampista
8,Jefferson Intriago ,Bravos,279,Centrocampista
9,Carlos Rodríguez ,Rayados,276,Centrocampista
10,Fernando Gorriarán ,Santos Laguna,274,Centrocampista
11,Ángel Mena ,León FC,271,Centrocampista
12,Luis Rodríguez ,Tigres,268,Centrocampista
13,Osvaldo Martínez ,Puebla,265,Centrocampista
14,Guido Pizarro ,Tigres,264,Centrocampista
15,Miller Bolaños ,Xolos,261,Centrocampista
16,Erick Aguirre ,Pachuca,258,Centrocampista
17,Fernando Beltrán ,Chivas,255,Centrocampista
18,Elias Hernández ,Cruz Azul,252,Centrocampista
