Ranking,Jugador,Equipo,Total,Posicion
1,Aldo Rocha ,Monarcas,610,Centrocampista
2,Guido Pizarro ,Tigres,525,Centrocampista
3,Luis Montes ,León FC,487,Centrocampista
4,Rodrigo Millar ,Monarcas,484,Centrocampista
5,William Tesillo ,León FC,465,Defensa
6,Jesús Dueñas ,Tigres,464,Centrocampista
7,Jorge Hernández ,Pachuca,456,Centrocampista
8,Luis Rodríguez ,Tigres,439,Centrocampista
9,Claudio Baeza ,Necaxa,434,Centrocampista
10,Fernando Gorriarán ,Santos Laguna,431,Centrocampista
11,Aboagye ,Gallos Blancos,430,Centrocampista
12,Pedro Aquino ,León FC,417,Centrocampista
13,Cabral ,Pachuca,415,Defensa
14,Oscar Murillo ,Pachuca,411,Defensa
15,Ismael Govea ,Atlas,401,Defensa
16,Fernando Beltrán ,Chivas,392,Centrocampista
17,Javier Salas ,Puebla,388,Centrocampista
18,Sebastián Vegas ,Monarcas,387,Defensa
19,Luis Reyes ,Atlético San Luis,386,Defensa
19,Erick Aguirre ,Pachuca,386,Centrocampista
