Ranking,Jugador,Equipo,Total,Posicion
1,Ángel Mena ,León FC,5,Centrocampista
2,Franco Jara ,Pachuca,4,Delantero
3,Jonathan Rodríguez ,Cruz Azul,3,Delantero
3,Aldo Rocha ,Monarcas,3,Centrocampista
3,Nicolás Ibáñez ,Atlético San Luis,3,Delantero
3,Gignac ,Tigres,3,Delantero
4,Nicolás Sánchez ,Rayados,2,Defensa
4,Camilo Sanvezzo ,Xolos,2,Delantero
4,Leonardo Fernández ,Toluca,2,Centrocampista
4,Julio César ,Santos Laguna,2,Delantero
4,Geraldino ,Atlas,2,Delantero
4,Javier López ,Chivas,2,Centrocampista
4,Diego Rolán ,Bravos,2,Delantero
4,Brayan Angulo ,Xolos,2,Centrocampista
4,Brian Lozano ,Santos Laguna,2,Centrocampista
5,Leonardo Ramos ,León FC,1,Delantero
5,Diego Valdés ,Santos Laguna,1,Centrocampista
5,Barrera ,Pumas,1,Delantero
5,Mauricio Cuero ,Atlas,1,Delantero
5,Osvaldo Martínez ,Puebla,1,Centrocampista
