Ranking,Jugador,Equipo,Total,Posicion
1,Miguel Sansores ,Monarcas,2,Delantero
1,Jesús Molina ,Chivas,2,Centrocampista
1,Alfredo Saldívar ,Pumas,2,Portero
1,Julián Velázquez ,Gallos Blancos,2,Defensa
1,José J. Martínez ,Monarcas,2,Defensa
1,Luis Rodríguez ,Tigres,2,Centrocampista
2,Antonio Nava ,Gallos Blancos,1,Centrocampista
2,Miguel Tapias ,Pachuca,1,Defensa
2,Israel Jiménez ,Bravos,1,Defensa
2,Doria ,Santos Laguna,1,Defensa
2,Alfonso Blanco ,Pachuca,1,Portero
2,Ismael Govea ,Atlas,1,Defensa
2,Ángel Márquez ,Atlas,1,Centrocampista
2,Dionicio Escalante ,Atlético San Luis,1,Defensa
2,Osvaldo Rodríguez ,León FC,1,Defensa
2,Cadete ,Gallos Blancos,1,Defensa
2,Javier Güemez ,Toluca,1,Centrocampista
2,Alexis Canelo ,Toluca,1,Delantero
2,Christopher Trejo ,Atlas,1,Delantero
2,José Ortiz ,Monarcas,1,Defensa
