Ranking,Jugador,Equipo,Total,Posicion
1,Brian Lozano ,Santos Laguna,251,Centrocampista
2,Leonardo Fernández ,Toluca,220,Centrocampista
3,Luis Reyes ,Atlético San Luis,197,Defensa
4,Fabian Castillo ,Gallos Blancos,191,Centrocampista
5,Sambueza ,Pachuca,189,Centrocampista
6,Luciano Acosta ,Atlas,163,Centrocampista
7,Nicolás Vikonis ,Puebla,155,Portero
8,Anibal Chala ,Toluca,154,Defensa
9,Osvaldo Martínez ,Puebla,153,Centrocampista
9,Elias Hernández ,Cruz Azul,153,Centrocampista
10,Barrera ,Pumas,150,Delantero
11,Jeison Lucumí ,Gallos Blancos,149,Delantero
12,Richard Sánchez ,América,145,Centrocampista
12,Darío Lezcano ,Bravos,145,Delantero
12,Erick Aguirre ,Pachuca,145,Centrocampista
13,Paul Aguilar ,América,143,Defensa
14,Ignacio Rivero ,Xolos,142,Centrocampista
14,Fernando Gorriarán ,Santos Laguna,142,Centrocampista
14,Miller Bolaños ,Xolos,142,Centrocampista
15,Luis Montes ,León FC,141,Centrocampista
