Ranking,Jugador,Equipo,Total,Posicion
1,Talavera ,Toluca,101,Portero
2,Nicolás Vikonis ,Puebla,99,Portero
2,Fernando Gorriarán ,Santos Laguna,99,Centrocampista
3,Edmundo Vázquez ,Bravos,91,Portero
4,Camilo Vargas ,Atlas,79,Portero
5,Guzmán ,Tigres,78,Portero
5,Ochoa ,América,78,Portero
6,Brian Lozano ,Santos Laguna,76,Centrocampista
7,Aldo Rocha ,Monarcas,73,Centrocampista
8,Aboagye ,Gallos Blancos,71,Centrocampista
8,Marcelo Barovero ,Rayados,71,Portero
9,Alfredo Saldívar ,Pumas,69,Portero
10,Gil Alcalá ,Gallos Blancos,68,Portero
10,Christian Rivera ,Xolos,68,Centrocampista
10,Carlos Rodriguez ,Atlético San Luis,68,Portero
10,Jorge Hernández ,Pachuca,68,Centrocampista
11,Claudio Baeza ,Necaxa,67,Centrocampista
11,Rodolfo Cota ,León FC,67,Portero
12,Jonathan Orozco ,Santos Laguna,65,Portero
12,Stefan Medina ,Rayados,65,Defensa
