Ranking,Jugador,Equipo,Total,Posicion
1,Jeison Lucumí ,Gallos Blancos,41,Delantero
2,Isaac Brizuela ,Chivas,28,Centrocampista
3,Luis Montes ,León FC,27,Centrocampista
4,Brian Lozano ,Santos Laguna,26,Centrocampista
5,Felipe Pardo ,Toluca,25,Delantero
5,Fabian Castillo ,Gallos Blancos,25,Centrocampista
6,Claudio Baeza ,Necaxa,24,Centrocampista
7,Sambueza ,Pachuca,23,Centrocampista
8,Elias Hernández ,Cruz Azul,22,Centrocampista
8,Luis Quiñónes ,Tigres,22,Delantero
8,Martín Rodríguez ,Monarcas,22,Centrocampista
9,Fernando Beltrán ,Chivas,21,Centrocampista
10,Luciano Acosta ,Atlas,19,Centrocampista
10,Alan Mozo ,Pumas,19,Defensa
11,Roberto Alvarado ,Cruz Azul,17,Centrocampista
11,Daniel Alvarez ,Necaxa,17,Delantero
11,Darío Lezcano ,Bravos,17,Delantero
11,Erick Aguirre ,Pachuca,17,Centrocampista
12,Campbell ,León FC,16,Delantero
12,Aquino ,Tigres,16,Centrocampista
