Ranking,Jugador,Equipo,Total,Posicion
1,Brian Lozano ,Santos Laguna,17,Centrocampista
2,Barrera ,Pumas,14,Delantero
2,Sambueza ,Pachuca,14,Centrocampista
3,Rogelio Funes Mori ,Rayados,13,Delantero
3,Dorlan Pabón ,Rayados,13,Delantero
4,Jeison Lucumí ,Gallos Blancos,12,Delantero
4,Stefan Medina ,Rayados,12,Defensa
4,Christian Tabó ,Puebla,12,Delantero
4,Felipe Pardo ,Toluca,12,Delantero
4,Gignac ,Tigres,12,Delantero
4,Fabian Castillo ,Gallos Blancos,12,Centrocampista
5,Elias Hernández ,Cruz Azul,11,Centrocampista
5,Leonardo Fernández ,Toluca,11,Centrocampista
5,Miguel Layún ,Rayados,11,Defensa
6,Sebastian Saucedo ,Pumas,10,Centrocampista
6,Romário Ibarra ,Pachuca,10,Centrocampista
6,Martín Rodríguez ,Monarcas,10,Centrocampista
6,Juan Delgado ,Necaxa,10,Delantero
6,Víctor Malcorra ,Pumas,10,Centrocampista
6,Miller Bolaños ,Xolos,10,Centrocampista
