Ranking,Jugador,Equipo,Total,Posicion
1,Aldo Cruz ,Xolos,1,Defensa
1,Bruno Valdez ,América,1,Defensa
1,Mauro Lainez ,Xolos,1,Centrocampista
1,Orbelín Pineda ,Cruz Azul,1,Centrocampista
1,Alexis Parra ,Rayados,1,Defensa
1,Cepellini ,Cruz Azul,1,Centrocampista
1,Nicolás Sánchez ,Rayados,1,Defensa
1,Christian Tabó ,Puebla,1,Delantero
1,Nervo ,Atlas,1,Defensa
1,Ernesto Vega ,Chivas,1,Delantero
1,Ian Jairo Torres ,Atlas,1,Delantero
1,Ian González ,Atlético San Luis,1,Delantero
1,Jorge Sánchez ,América,1,Defensa
1,Santiago Cáseres ,América,1,Centrocampista
1,Abella ,Atlas,1,Defensa
1,Miguel Barbieri ,Xolos,1,Defensa
