Ranking,Jugador,Equipo,Total,Posicion
1,Aldo Cruz ,Xolos,1,Defensa
1,Ronaldo Cisneros ,Chivas,1,Delantero
1,Pedro Aquino ,León FC,1,Centrocampista
1,Luis Chavez ,Pachuca,1,Centrocampista
1,Sebastian Saucedo ,Pumas,1,Centrocampista
1,Bruno Valdez ,América,1,Defensa
1,César Huerta ,Monarcas,1,Delantero
1,Claudio Baeza ,Necaxa,1,Centrocampista
1,Mauro Lainez ,Xolos,1,Centrocampista
1,Orbelín Pineda ,Cruz Azul,1,Centrocampista
1,Alexis Parra ,Rayados,1,Defensa
1,Cepellini ,Cruz Azul,1,Centrocampista
1,José Ortiz ,Monarcas,1,Defensa
1,Sebastián Vegas ,Monarcas,1,Defensa
1,Javier Salas ,Puebla,1,Centrocampista
1,Nicolás Sánchez ,Rayados,1,Defensa
1,Christian Tabó ,Puebla,1,Delantero
1,Pablo Gonzalez ,Puebla,1,Centrocampista
1,Luis Quintana ,Pumas,1,Defensa
1,Nervo ,Atlas,1,Defensa
