Ranking,Jugador,Equipo,Total,Posicion
1,Diego Valdés ,Santos Laguna,7,Centrocampista
1,Alan Acosta ,Puebla,7,Centrocampista
1,Luis Madrigal ,Necaxa,7,Delantero
1,Octavio Rivero ,Santos Laguna,7,Delantero
2,Brian Rubio ,Bravos,6,Delantero
2,Juan Ignacio Dinenno ,Pumas,6,Delantero
2,Alfonso González ,Rayados,6,Centrocampista
2,Campbell ,León FC,6,Delantero
2,Erick Torres ,Xolos,6,Delantero
2,Jesús Angulo ,Chivas,6,Centrocampista
2,Víctor Malcorra ,Pumas,6,Centrocampista
3,Lucas Villafañez ,Monarcas,5,Centrocampista
3,César Huerta ,Monarcas,5,Delantero
3,Omar Arellano ,Gallos Blancos,5,Delantero
3,Christopher Trejo ,Atlas,5,Delantero
3,Vargas ,Tigres,5,Delantero
3,Michael Estrada ,Toluca,5,Delantero
3,Maximiliano Salas ,Necaxa,5,Delantero
3,Cristian Menéndez ,Puebla,5,Delantero
3,Jordi Cortizo ,Gallos Blancos,5,Centrocampista
