estadistica,url_base,url_final
goles,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
goles-encajados,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
disparos,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
regates,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
pases-buenos,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
paradas-del-portero,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
partidos-jugados-de-titular,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
minutos-totales-disputados,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
total-de-sustituciones-en-las-que-sale-del-campo,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
total-de-sustituciones-en-las-que-entra-al-campo,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
penaltis-parados-por-el-portero,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
penaltis-disparados-al-portero,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
intervenciones,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
asistencias-de-gol,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
asistencias-totales,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
regates-satisfactorios,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
regates-en-los-que-pierdes-el-balon,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
partidos-disputados,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
balones-disputados-donde-se-ha-perdido-la-posesion,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
balones-disputados-donde-se-ha-ganado-la-posesion,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
balones-disputados,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
duelos-uno-contra-uno-perdidos-sobre-la-posesion-del-balon-en-el-aire,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
duelos-uno-contra-uno-ganados-sobre-la-posesion-del-balon-en-el-aire,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
duelos-uno-contra-uno-sobre-la-posesion-del-balon-en-el-aire,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
duelos-uno-contra-uno-perdidos-sobre-la-posesion-del-balon-en-el-cesped,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
duelos-uno-contra-uno-ganados-sobre-la-posesion-del-balon-en-el-cesped,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
duelos-uno-contra-uno-sobre-la-posesion-del-balon-en-el-cesped,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
faltas-cometidas,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
faltas-recibidas,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
goles-encajados-desde-dentro-del-area,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
goles-encajados-desde-fuera-del-area,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
goles-encajados-de-penalti,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
goles-en-propia-puerta,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
goles-con-el-pie-izquierdo,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
goles-con-el-pie-derecho,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
goles-con-la-cabeza,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
goles-desde-dentro-del-area,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
goles-desde-fuera-del-area,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
goles-de-penalti,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
centros-fallados,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
centros-buenos,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
centros,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
pases-fallados,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
pases-largos-buenos,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
pases-largos-fallados,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
pases-largos,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
pases-buenos-en-campo-contrario,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
pases-fallados-en-campo-contrario,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
pases-que-se-han-producido-en-campo-contrario,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
pases-fallados-en-campo-propio,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
pases-que-se-han-producido-en-campo-propio,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
intercepciones,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
pases,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
fueras-de-juego,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
tarjetas-rojas,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
segundas-tarjetas-amarillas,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
tarjetas-amarillas,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
tarjetas-rojas-directas,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
tarjetas,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
disparos-fuera-o-al-poste,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
disparos-a-puerta,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
disparos-de-falta,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
penaltis-lanzados,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
penaltis-recibidos,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
disparos-recibidos-bloqueados,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
disparos-al-poste,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
partidos-con-la-porteria-a-cero,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
faltas-por-mano,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
saques-de-esquina,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
recuperaciones-de-posesion,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
perdidas-de-posesion,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
balon-salvado-desde-la-linea-de-gol,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
entradas,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
entradas-que-resultan-en-la-recuperacion-del-balon,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
entradas-que-terminan-en-falta,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
entradas-que-resultan-en-la-no-recuperacion-del-balon,https://mexico.as.com/resultados/futbol/mexico_,/ranking/jugadores/
